nombre,categoria_maps,telefono,telefono_norm,posible_celular,whatsapp_link,email,ciudad,calificacion,sitio_web,ecommerce,fuente,url_listing
"Paretto Desarrollo y Distribución de Productos Gourmet, Saludables, Orgánicos y Sustentables",Mayorista,011 4865-3254,+541148653254,SI,https://wa.me/541148653254,,"Atencion digital o telefónica No tenemos atención presencial, Av. Eduardo Madero 942, C1108 Cdad. Autónoma de Buenos Aires",,https://www.paretto.com.ar/,WooCommerce,GoogleMaps,"https://www.google.com/maps/place/Paretto+Desarrollo+y+Distribuci%C3%B3n+de+Productos+Gourmet,+Saludables,+Org%C3%A1nicos+y+Sustentables/data=!4m7!3m6!1s0x95a33535243d9557:0xfcb97c3919632c9d!8m2!3d-34.5964342!4d-58.3706308!16s%2Fg%2F11g6bfwcvy!19sChIJV5U9JDU1o5URnSxjGTl8ufw?authuser=0&hl=es-419&rclk=1"
Distribuidora Pop,Mayorista de confitería,011 3952-8296,+541139528296,SI,https://wa.me/541139528296,,"Julio Argentino Roca 4298 LOCAL 121, B1604BZN Florida Oeste, Provincia de Buenos Aires",,https://www.distribuidorapop.com.ar/,WooCommerce,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Pop/data=!4m7!3m6!1s0x95bcb5dd686a53a1:0x4e5c56802b177a19!8m2!3d-34.542864!4d-58.5154963!16s%2Fg%2F1q6bl62wk!19sChIJoVNqaN21vJURGXoXK4BWXE4?authuser=0&hl=es-419&rclk=1
Distribuidora de Alimentos | Amada Terra Mia,Proveedor mayorista de alimentos,011 15-3911-3085,+54111539113085,NO,,,"Colectora Este 835 Entre Sarmiento, Cardenal Fagnano y, B1610 Ricardo Rojas, Provincia de Buenos Aires",,https://amadaterramia.com/,WooCommerce,GoogleMaps,https://www.google.com/maps/place/Distribuidora+de+Alimentos+%7C+Amada+Terra+Mia/data=!4m7!3m6!1s0x95bcb1f7d2fc03d1:0x9bfe8e7abc75ad60!8m2!3d-34.4651402!4d-58.6852459!16s%2Fg%2F11lk1h4_dl!19sChIJ0QP80vexvJURYK11vHqO_ps?authuser=0&hl=es-419&rclk=1
Distribuidora Mayorista Ica,Distribuidor de comestibles,0351 15-766-7535,+54351157667535,NO,,,"Diag. Ica 1351, X5000 Córdoba",,,(sin web),GoogleMaps,https://www.google.com/maps/place/Distribuidora+Mayorista+Ica/data=!4m7!3m6!1s0x9432981874bdf5a1:0xc4e1daf7ceddcede!8m2!3d-31.3857598!4d-64.158083!16s%2Fg%2F11fx9twr9q!19sChIJofW9dBiYMpQR3s7dzvfa4cQ?authuser=0&hl=es-419&rclk=1
Distribuidora Hermar SRL,Servicio de distribución,011 3295-9529,+541132959529,SI,https://wa.me/541132959529,ventas@distribuidorahermar.com.ar,"Av. Brig. Gral. Juan Manuel de Rosas 4756, B1754FVS San Justo, Provincia de Buenos Aires",,http://www.distribuidorahermar.com.ar/,NINGUNO,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Hermar+SRL/data=!4m7!3m6!1s0x355a7681186b5d:0xc43b4c819b529599!8m2!3d-34.6886221!4d-58.5654995!16s%2Fg%2F1tdglfvs!19sChIJXWsYgXZaNQARmZVSm4FMO8Q?authuser=0&hl=es-419&rclk=1
Distribuidora De la tierra,Distribuidor de comestibles,011 3391-7527,+541133917527,SI,https://wa.me/541133917527,info@distribuidoradelatierra.com.ar,"Posadas 993, B1704 Ramos Mejía, Provincia de Buenos Aires",,http://www.distribuidoradelatierra.com.ar/,NINGUNO,GoogleMaps,https://www.google.com/maps/place/Distribuidora+De+la+tierra/data=!4m7!3m6!1s0x95bcc933a1090187:0x38d17812dec65740!8m2!3d-34.6510815!4d-58.5342688!16s%2Fg%2F11h764kn2f!19sChIJhwEJoTPJvJURQFfG3hJ40Tg?authuser=0&hl=es-419&rclk=1
LA DISTRIBUIDORA,Proveedor de huevos,011 5247-2726,+541152472726,SI,https://wa.me/541152472726,,"Ruta 14 km 120, X5212 Quebrada de los Pozos, Córdoba",,,(sin web),GoogleMaps,https://www.google.com/maps/place/LA+DISTRIBUIDORA/data=!4m7!3m6!1s0x942d2b1de7e17ad7:0xa606434b52b6e5c5!8m2!3d-31.9197041!4d-65.0391103!16s%2Fg%2F11nn49wj1k!19sChIJ13rh5x0rLZQRxeW2UktDBqY?authuser=0&hl=es-419&rclk=1
Distribuidora General Belgrano,Distribuidor de comestibles,011 4541-4441,+541145414441,SI,https://wa.me/541145414441,info@dgbelgrano.com.ar,"Miller 4161, C1430 Cdad. Autónoma de Buenos Aires",,http://www.dgbelgrano.com.ar/,NINGUNO,GoogleMaps,https://www.google.com/maps/place/Distribuidora+General+Belgrano/data=!4m7!3m6!1s0x95bcb6eec9fb7c11:0xf94f55ccdf561d0!8m2!3d-34.555804!4d-58.4930838!16s%2Fg%2F1tdvfrwp!19sChIJEXz7ye62vJUR0GH1zVz1lA8?authuser=0&hl=es-419&rclk=1
La Preferida SRL,Distribuidor de comestibles,011 4581-3586,+541145813586,SI,https://wa.me/541145813586,info@distrilapreferida.com.ar,"Gral. Manuel A. Rodríguez 2340, C1416CMZ Cdad. Autónoma de Buenos Aires",,http://distrilapreferida.com.ar/,NINGUNO,GoogleMaps,https://www.google.com/maps/place/La+Preferida+SRL/data=!4m7!3m6!1s0x95bcc9f8fe7c47f1:0x372c287a56dfe5f7!8m2!3d-34.5986123!4d-58.4572284!16s%2Fg%2F11b6t1lzj5!19sChIJ8Ud8_vjJvJUR9-XfVnooLDc?authuser=0&hl=es-419&rclk=1
Distribuidora Alpes,Mayorista,011 4571-5277,+541145715277,SI,https://wa.me/541145715277,pablo@distribuidoraalpes.com.ar,"Carlos Antonio López 2341, C1419 Cdad. Autónoma de Buenos Aires",,https://www.distribuidoraalpes.com.ar/,WooCommerce,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Alpes/data=!4m7!3m6!1s0x95bcb6455b1a12b3:0x66e8661e69a4788c!8m2!3d-34.581392!4d-58.496874!16s%2Fg%2F1hc2jbbn4!19sChIJsxIaW0W2vJURjHikaR5m6GY?authuser=0&hl=es-419&rclk=1
La Distribuidora,Tienda de alimentación,0341 361-2661,+543413612661,SI,https://wa.me/543413612661,,"San Juan 3185, S2000 Rosario, Santa Fe",,https://m.facebook.com/ladistribuidorasd,ERROR,GoogleMaps,https://www.google.com/maps/place/La+Distribuidora/data=!4m7!3m6!1s0x95b7ab7e499cb73d:0xc84af946fbc2a78e!8m2!3d-32.9451828!4d-60.6675805!16s%2Fg%2F11hfw2jv1q!19sChIJPbecSX6rt5URjqfC-0b5Ssg?authuser=0&hl=es-419&rclk=1
Melar Compañia de Alimentos,Proveedor mayorista de alimentos,011 15-3667-4419,+54111536674419,NO,,info@melar.com.ar,"Tp logística, B1667 Tortuguitas, Provincia de Buenos Aires",,https://melar.com.ar/,NINGUNO,GoogleMaps,https://www.google.com/maps/place/Melar+Compa%C3%B1ia+de+Alimentos/data=!4m7!3m6!1s0x95bcb9f7a7116abf:0x8fad3ddd45064339!8m2!3d-34.4600413!4d-58.7436856!16s%2Fg%2F11g8v434js!19sChIJv2oRp_e5vJUROUMGRd09rY8?authuser=0&hl=es-419&rclk=1
Centro de distribución mayorista de congelados San Francisco,Fabricante de alimentos congelados,011 6881-1854,+541168811854,SI,https://wa.me/541168811854,,"José de Calasanz 1324 1324, B1714 Ituzaingó, Provincia de Buenos Aires",,,(sin web),GoogleMaps,https://www.google.com/maps/place/Centro+de+distribuci%C3%B3n+mayorista+de+congelados+San+Francisco/data=!4m7!3m6!1s0x95bcbf975a9fe865:0xa1ea53d76f966256!8m2!3d-34.6297568!4d-58.7010779!16s%2Fg%2F11q3b_7yct!19sChIJZeifWpe_vJURVmKWb9dT6qE?authuser=0&hl=es-419&rclk=1
